0033.77843|-084.39977|10/12/2001|10:27:30
0033.77845|-084.39977|10/12/2001|10:27:31
0033.77847|-084.39977|10/12/2001|10:27:32
0033.77847|-084.39977|10/12/2001|10:27:33
0033.77847|-084.39977|10/12/2001|10:27:34
0033.77848|-084.39977|10/12/2001|10:27:35
0033.77850|-084.39978|10/12/2001|10:27:36
0033.77850|-084.39978|10/12/2001|10:27:37
0033.77852|-084.39977|10/12/2001|10:27:38
0033.77853|-084.39978|10/12/2001|10:27:39
0033.77853|-084.39977|10/12/2001|10:27:40
0033.77855|-084.39977|10/12/2001|10:27:41
0033.77857|-084.39977|10/12/2001|10:27:42
0033.77858|-084.39977|10/12/2001|10:27:43
0033.77860|-084.39977|10/12/2001|10:27:44
0033.77862|-084.39977|10/12/2001|10:27:45
0033.77862|-084.39975|10/12/2001|10:27:46
0033.77863|-084.39975|10/12/2001|10:27:47
0033.77865|-084.39975|10/12/2001|10:27:48
0033.77867|-084.39973|10/12/2001|10:27:49
0033.77868|-084.39973|10/12/2001|10:27:50
0033.77870|-084.39973|10/12/2001|10:27:51
0033.77872|-084.39975|10/12/2001|10:27:52
0033.77873|-084.39975|10/12/2001|10:27:53
0033.77875|-084.39975|10/12/2001|10:27:54
0033.77877|-084.39975|10/12/2001|10:27:55
0033.77878|-084.39975|10/12/2001|10:27:56
0033.77878|-084.39975|10/12/2001|10:27:57
0033.77880|-084.39975|10/12/2001|10:27:58
0033.77882|-084.39975|10/12/2001|10:27:59
0033.77883|-084.39977|10/12/2001|10:28:00
0033.77885|-084.39977|10/12/2001|10:28:01
0033.77887|-084.39977|10/12/2001|10:28:02
0033.77888|-084.39977|10/12/2001|10:28:03
0033.77890|-084.39977|10/12/2001|10:28:04
0033.77890|-084.39977|10/12/2001|10:28:05
0033.77892|-084.39977|10/12/2001|10:28:06
0033.77893|-084.39977|10/12/2001|10:28:07
0033.77893|-084.39977|10/12/2001|10:28:08
0033.77895|-084.39977|10/12/2001|10:28:09
0033.77895|-084.39975|10/12/2001|10:28:10
0033.77897|-084.39977|10/12/2001|10:28:11
0033.77898|-084.39977|10/12/2001|10:28:12
0033.77900|-084.39977|10/12/2001|10:28:13
0033.77902|-084.39977|10/12/2001|10:28:14
0033.77902|-084.39977|10/12/2001|10:28:15
0033.77903|-084.39977|10/12/2001|10:28:16
0033.77905|-084.39977|10/12/2001|10:28:17
0033.77907|-084.39977|10/12/2001|10:28:18
0033.77908|-084.39975|10/12/2001|10:28:19
0033.77910|-084.39977|10/12/2001|10:28:20
0033.77912|-084.39975|10/12/2001|10:28:21
0033.77912|-084.39975|10/12/2001|10:28:22
0033.77913|-084.39975|10/12/2001|10:28:23
0033.77915|-084.39975|10/12/2001|10:28:24
0033.77917|-084.39975|10/12/2001|10:28:25
0033.77918|-084.39977|10/12/2001|10:28:26
0033.77922|-084.39977|10/12/2001|10:28:27
0033.77923|-084.39977|10/12/2001|10:28:28
0033.77923|-084.39977|10/12/2001|10:28:29
0033.77927|-084.39977|10/12/2001|10:28:30
0033.77927|-084.39977|10/12/2001|10:28:31
0033.77928|-084.39977|10/12/2001|10:28:32
0033.77930|-084.39978|10/12/2001|10:28:33
0033.77932|-084.39977|10/12/2001|10:28:34
0033.77933|-084.39977|10/12/2001|10:28:35
0033.77935|-084.39977|10/12/2001|10:28:36
0033.77937|-084.39977|10/12/2001|10:28:37
0033.77938|-084.39977|10/12/2001|10:28:38
0033.77940|-084.39977|10/12/2001|10:28:39
0033.77942|-084.39977|10/12/2001|10:28:40
0033.77943|-084.39977|10/12/2001|10:28:41
0033.77945|-084.39977|10/12/2001|10:28:42
0033.77947|-084.39977|10/12/2001|10:28:43
0033.77948|-084.39977|10/12/2001|10:28:44
0033.77950|-084.39977|10/12/2001|10:28:45
0033.77952|-084.39977|10/12/2001|10:28:46
0033.77953|-084.39977|10/12/2001|10:28:47
0033.77955|-084.39977|10/12/2001|10:28:48
0033.77955|-084.39977|10/12/2001|10:28:49
0033.77957|-084.39977|10/12/2001|10:28:50
0033.77958|-084.39977|10/12/2001|10:28:51
0033.77960|-084.39977|10/12/2001|10:28:52
0033.77962|-084.39978|10/12/2001|10:28:53
0033.77962|-084.39978|10/12/2001|10:28:54
0033.77963|-084.39978|10/12/2001|10:28:55
0033.77965|-084.39978|10/12/2001|10:28:56
0033.77967|-084.39980|10/12/2001|10:28:57
0033.77967|-084.39980|10/12/2001|10:28:58
0033.77968|-084.39980|10/12/2001|10:28:59
0033.77970|-084.39982|10/12/2001|10:29:00
0033.77972|-084.39980|10/12/2001|10:29:01
0033.77973|-084.39982|10/12/2001|10:29:02
0033.77975|-084.39982|10/12/2001|10:29:03
0033.77975|-084.39982|10/12/2001|10:29:04
0033.77977|-084.39982|10/12/2001|10:29:05
0033.77978|-084.39982|10/12/2001|10:29:06
0033.77980|-084.39982|10/12/2001|10:29:07
0033.77982|-084.39982|10/12/2001|10:29:08
0033.77983|-084.39982|10/12/2001|10:29:09
0033.77985|-084.39982|10/12/2001|10:29:10
0033.77985|-084.39982|10/12/2001|10:29:11
0033.77987|-084.39983|10/12/2001|10:29:12
0033.77988|-084.39983|10/12/2001|10:29:13
0033.77988|-084.39983|10/12/2001|10:29:14
0033.77990|-084.39983|10/12/2001|10:29:15
0033.77992|-084.39985|10/12/2001|10:29:16
0033.77993|-084.39985|10/12/2001|10:29:17
0033.77995|-084.39985|10/12/2001|10:29:18
0033.77995|-084.39987|10/12/2001|10:29:19
0033.77997|-084.39988|10/12/2001|10:29:20
0033.77997|-084.39988|10/12/2001|10:29:21
0033.77998|-084.39990|10/12/2001|10:29:22
0033.77998|-084.39992|10/12/2001|10:29:23
0033.77998|-084.39993|10/12/2001|10:29:24
0033.78000|-084.39995|10/12/2001|10:29:25
0033.78000|-084.39997|10/12/2001|10:29:26
0033.78002|-084.39998|10/12/2001|10:29:27
0033.78003|-084.40000|10/12/2001|10:29:28
0033.78003|-084.40000|10/12/2001|10:29:29
0033.78005|-084.40000|10/12/2001|10:29:30
0033.78007|-084.40002|10/12/2001|10:29:31
0033.78008|-084.40002|10/12/2001|10:29:32
