50;5 minuti;0%;153,101;21.665,0625;13
50;5 minuti;25%;362,6777;79.967,2968;13
50;5 minuti;50%;678,8609;230.979,9375;13
50;5 minuti;75%;1.130,4106;670.779,9375;13
50;10 minuti;0%;156,48;24.760,1425;12
50;10 minuti;25%;378,206;82.214,8593;12
50;10 minuti;50%;710,5864;247.723,7343;12
50;10 minuti;75%;1.173,6854;730.697,5625;12
100;5 minuti;0%;69,6973;5.737,4038;13
100;5 minuti;25%;179,5406;19.024,9179;13
100;5 minuti;50%;343,8208;57.282,1171;13
100;5 minuti;75%;577,7821;169.370,9687;13
100;10 minuti;0%;72,6535;6.331,7026;12
100;10 minuti;25%;188,4781;19.625,9003;12
100;10 minuti;50%;361,9927;61.771,7187;12
100;10 minuti;75%;603,5786;185.633,75;12
300;5 minuti;0%;23,4228;598,0487;13
300;5 minuti;25%;58,557;2.092,437;13
300;5 minuti;50%;109,859;6.288,2368;13
300;5 minuti;75%;183,3637;17.842,8417;13
300;10 minuti;0%;24,4338;661,1099;12
300;10 minuti;25%;61,5711;2.161,0402;12
300;10 minuti;50%;115,8332;6.805,269;12
300;10 minuti;75%;191,7163;19.592,0292;12
