50;5 minuti;0%;153,4191;21.342,5195;13
50;5 minuti;25%;363,1338;79.645,8593;13
50;5 minuti;50%;681,013;230.454,8281;13
50;5 minuti;75%;1.134,3757;671.721,25;13
50;10 minuti;0%;156,8213;24.406,8496;12
50;10 minuti;25%;378,6963;81.862,0703;12
50;10 minuti;50%;712,9171;247.107,0625;12
50;10 minuti;75%;1.177,9976;731.812,4375;12
100;5 minuti;0%;69,8093;5.576,5908;13
100;5 minuti;25%;179,892;18.768,7832;13
100;5 minuti;50%;344,7913;57.009,3085;13
100;5 minuti;75%;579,5869;168.971,1875;13
100;10 minuti;0%;72,7725;6.156,3359;12
100;10 minuti;25%;188,8559;19.344,9394;12
100;10 minuti;50%;363,0453;61.468,6093;12
100;10 minuti;75%;605,5471;185.224,25;12
300;5 minuti;0%;24,3244;543,9032;13
300;5 minuti;25%;61,0015;2.025,0959;13
300;5 minuti;50%;114,2338;6.450,9619;13
300;5 minuti;75%;190,4387;18.532,8496;13
300;10 minuti;0%;25,4072;600,2831;12
300;10 minuti;25%;64,2054;2.080,7749;12
300;10 minuti;50%;120,5472;6.983,601;12
300;10 minuti;75%;199,3417;20.377,6269;12
