0046.07850|0013.24290|11/08/2008|15:23:47
0046.07858|0013.24291|11/08/2008|15:23:48
0046.07862|0013.24296|11/08/2008|15:23:49
0046.07862|0013.24296|11/08/2008|15:23:50
0046.07862|0013.24296|11/08/2008|15:23:51
0046.07862|0013.24296|11/08/2008|15:23:53
0046.07862|0013.24296|11/08/2008|15:23:54
0046.07862|0013.24296|11/08/2008|15:23:55
0046.07862|0013.24296|11/08/2008|15:23:56
0046.07862|0013.24296|11/08/2008|15:23:57
0046.07862|0013.24296|11/08/2008|15:23:58
0046.07862|0013.24296|11/08/2008|15:23:59
0046.07862|0013.24296|11/08/2008|15:24:00
0046.07862|0013.24296|11/08/2008|15:24:02
0046.07862|0013.24296|11/08/2008|15:24:03
0046.07862|0013.24296|11/08/2008|15:24:04
0046.07862|0013.24296|11/08/2008|15:24:05
0046.07853|0013.24285|11/08/2008|15:24:06
0046.07848|0013.24287|11/08/2008|15:24:07
0046.07844|0013.24288|11/08/2008|15:24:08
0046.07839|0013.24288|11/08/2008|15:24:09
0046.07833|0013.24289|11/08/2008|15:24:11
0046.07828|0013.24292|11/08/2008|15:24:12
0046.07822|0013.24295|11/08/2008|15:24:13
0046.07815|0013.24297|11/08/2008|15:24:14
0046.07807|0013.24297|11/08/2008|15:24:15
0046.07781|0013.24287|11/08/2008|15:24:16
0046.07768|0013.24283|11/08/2008|15:24:17
0046.07757|0013.24281|11/08/2008|15:24:19
0046.07736|0013.24278|11/08/2008|15:24:20
0046.07726|0013.24277|11/08/2008|15:24:21
0046.07717|0013.24277|11/08/2008|15:24:22
0046.07709|0013.24276|11/08/2008|15:24:24
0046.07702|0013.24276|11/08/2008|15:24:25
0046.07698|0013.24275|11/08/2008|15:24:26
0046.07695|0013.24274|11/08/2008|15:24:27
0046.07694|0013.24274|11/08/2008|15:24:28
0046.07693|0013.24274|11/08/2008|15:24:29
0046.07692|0013.24274|11/08/2008|15:24:30
0046.07691|0013.24274|11/08/2008|15:24:31
0046.07688|0013.24274|11/08/2008|15:24:33
0046.07684|0013.24275|11/08/2008|15:24:34
0046.07679|0013.24277|11/08/2008|15:24:35
0046.07671|0013.24278|11/08/2008|15:24:36
0046.07664|0013.24279|11/08/2008|15:24:37
0046.07647|0013.24282|11/08/2008|15:24:38
0046.07638|0013.24283|11/08/2008|15:24:39
0046.07629|0013.24284|11/08/2008|15:24:40
0046.07619|0013.24285|11/08/2008|15:24:42
0046.07609|0013.24288|11/08/2008|15:24:43
0046.07598|0013.24289|11/08/2008|15:24:44
0046.07586|0013.24291|11/08/2008|15:24:45
0046.07575|0013.24292|11/08/2008|15:24:46
0046.07551|0013.24295|11/08/2008|15:24:47
0046.07538|0013.24297|11/08/2008|15:24:48
0046.07526|0013.24298|11/08/2008|15:24:49
0046.07513|0013.24299|11/08/2008|15:24:51
0046.07501|0013.24301|11/08/2008|15:24:52
0046.07489|0013.24302|11/08/2008|15:24:53
