33.77843, -84.39977, 12/10/01, 10:27:30
33.77845, -84.39977, 12/10/01, 10:27:31
33.77847, -84.39977, 12/10/01, 10:27:32
33.77847, -84.39977, 12/10/01, 10:27:33
33.77847, -84.39977, 12/10/01, 10:27:34
33.77848, -84.39977, 12/10/01, 10:27:35
33.77850, -84.39978, 12/10/01, 10:27:36
33.77850, -84.39978, 12/10/01, 10:27:37
33.77852, -84.39977, 12/10/01, 10:27:38
33.77853, -84.39978, 12/10/01, 10:27:39
33.77853, -84.39977, 12/10/01, 10:27:40
33.77855, -84.39977, 12/10/01, 10:27:41
33.77857, -84.39977, 12/10/01, 10:27:42
33.77858, -84.39977, 12/10/01, 10:27:43
33.77860, -84.39977, 12/10/01, 10:27:44
33.77862, -84.39977, 12/10/01, 10:27:45
33.77862, -84.39975, 12/10/01, 10:27:46
33.77863, -84.39975, 12/10/01, 10:27:47
33.77865, -84.39975, 12/10/01, 10:27:48
33.77867, -84.39973, 12/10/01, 10:27:49
33.77868, -84.39973, 12/10/01, 10:27:50
33.77870, -84.39973, 12/10/01, 10:27:51
33.77872, -84.39975, 12/10/01, 10:27:52
33.77873, -84.39975, 12/10/01, 10:27:53
33.77875, -84.39975, 12/10/01, 10:27:54
33.77877, -84.39975, 12/10/01, 10:27:55
33.77878, -84.39975, 12/10/01, 10:27:56
33.77878, -84.39975, 12/10/01, 10:27:57
33.77880, -84.39975, 12/10/01, 10:27:58
33.77882, -84.39975, 12/10/01, 10:27:59
33.77883, -84.39977, 12/10/01, 10:28:00
33.77885, -84.39977, 12/10/01, 10:28:01
33.77887, -84.39977, 12/10/01, 10:28:02
33.77888, -84.39977, 12/10/01, 10:28:03
33.77890, -84.39977, 12/10/01, 10:28:04
33.77890, -84.39977, 12/10/01, 10:28:05
33.77892, -84.39977, 12/10/01, 10:28:06
33.77893, -84.39977, 12/10/01, 10:28:07
33.77893, -84.39977, 12/10/01, 10:28:08
33.77895, -84.39977, 12/10/01, 10:28:09
33.77895, -84.39975, 12/10/01, 10:28:10
33.77897, -84.39977, 12/10/01, 10:28:11
33.77898, -84.39977, 12/10/01, 10:28:12
33.77900, -84.39977, 12/10/01, 10:28:13
33.77902, -84.39977, 12/10/01, 10:28:14
