AT;50;5 minuti;0%;153,101;21.665,0625;137.655,0537;1.083.253,125;1.040,7944
AT;50;5 minuti;25%;362,6777;79.967,2968;1318.133,8897;3.998.364,8437;1.999,5911
AT;50;5 minuti;50%;678,8609;230.979,9375;1333.943,045;11.548.996,875;3.398,3815
AT;50;5 minuti;75%;1.130,4106;670.779,9375;1356.520,5322;33.538.996,875;5.791,2862
AT;50;10 minuti;0%;156,48;24.760,1425;127.824,0013;1.238.007,1289;1.112,6576
AT;50;10 minuti;25%;378,206;82.214,8593;1218.910,3027;4.110.742,9687;2.027,4967
AT;50;10 minuti;50%;710,5864;247.723,7343;1235.529,3212;12.386.186,7187;3.519,4014
AT;50;10 minuti;75%;1.173,6854;730.697,5625;1258.684,2712;36.534.878,125;6.044,4088
AT;100;5 minuti;0%;69,6973;5.737,4038;136.969,738;573.740,3808;757,4565
AT;100;5 minuti;25%;179,5406;19.024,9179;1317.954,0618;1.902.491,7968;1.379,3084
AT;100;5 minuti;50%;343,8208;57.282,1171;1334.382,0831;5.728.211,7187;2.393,3682
AT;100;5 minuti;75%;577,7821;169.370,9687;1357.778,2165;16.937.096,875;4.115,4704
AT;100;10 minuti;0%;72,6535;6.331,7026;127.265,3526;633.170,2636;795,7199
AT;100;10 minuti;25%;188,4781;19.625,9003;1218.847,8134;1.962.590,039;1.400,9247
AT;100;10 minuti;50%;361,9927;61.771,7187;1236.199,2797;6.177.171,875;2.485,3916
AT;100;10 minuti;75%;603,5786;185.633,75;1260.357,8674;18.563.375,00;4.308,5235
AT;300;5 minuti;0%;23,4228;598,0487;137.026,8617;179.414,6301;423,5736
AT;300;5 minuti;25%;58,557;2.092,437;1317.567,118;627.731,1035;792,2948
AT;300;5 minuti;50%;109,859;6.288,2368;1332.957,7117;1.886.471,0449;1.373,4886
AT;300;5 minuti;75%;183,3637;17.842,8417;1355.009,1262;5.352.852,539;2.313,6232
AT;300;10 minuti;0%;24,4338;661,1099;127.330,1605;198.332,9772;445,3459
AT;300;10 minuti;25%;61,5711;2.161,0402;1218.471,3317;648.312,0849;805,1782
AT;300;10 minuti;50%;115,8332;6.805,269;1234.749,9664;2.041.580,7128;1.428,8389
AT;300;10 minuti;75%;191,7163;19.592,0292;1257.514,9154;5.877.608,789;2.424,378
