CL;50;5 minuti;0%;153,4224;21.342,0722;137.671,1235;1.067.103,6132;1.033,007
CL;50;5 minuti;25%;363,1381;79.644,6328;1318.156,9061;3.982.231,6406;1.995,5529
CL;50;5 minuti;50%;681,0146;230.456,5156;1334.050,7324;11.522.825,7812;3.394,5288
CL;50;5 minuti;75%;1.134,3712;671.720,00;1356.718,5607;33.586.000,00;5.795,3429
CL;50;10 minuti;0%;156,8249;24.406,3613;127.841,2467;1.220.318,0664;1.104,68
CL;50;10 minuti;25%;378,7011;81.860,6796;1218.935,057;4.093.033,9843;2.023,1248
CL;50;10 minuti;50%;712,919;247.109,1718;1235.645,9503;12.355.458,5937;3.515,0332
CL;50;10 minuti;75%;1.177,993;731.811,6875;1258.899,652;36.590.584,375;6.049,0151
CL;100;5 minuti;0%;69,8096;5.576,4555;136.980,9623;557.645,5566;746,7566
CL;100;5 minuti;25%;179,8926;18.768,5996;1317.989,2608;1.876.859,9609;1.369,9853
CL;100;5 minuti;50%;344,7921;57.008,7695;1334.479,2144;5.700.876,9531;2.387,6509
CL;100;5 minuti;75%;579,5883;168.970,2812;1357.958,8317;16.897.028,125;4.110,5994
CL;100;10 minuti;0%;72,7728;6.156,187;127.277,2834;615.618,7011;784,6137
CL;100;10 minuti;25%;188,8599;19.344,705;1218.885,9924;1.934.470,5078;1.390,8524
CL;100;10 minuti;50%;363,0524;61.469,1992;1236.305,2459;6.146.919,9218;2.479,2982
CL;100;10 minuti;75%;605,5569;185.227,5781;1260.555,6945;18.522.757,8125;4.303,8073
CL;300;5 minuti;0%;24,314;544,0466;137.294,2077;163.213,9892;403,9975
CL;300;5 minuti;25%;61,0468;2.022,1694;1318.314,051;606.650,83;778,8779
CL;300;5 minuti;50%;114,3423;6.453,2026;1334.302,6992;1.935.960,791;1.391,388
CL;300;5 minuti;75%;190,6677;18.548,2949;1357.200,3265;5.564.488,4765;2.358,9168
CL;300;10 minuti;0%;25,3959;600,4626;127.618,7971;180.138,7939;424,4276
CL;300;10 minuti;25%;64,2545;2.077,2841;1219.276,3549;623.185,2539;789,4208
CL;300;10 minuti;50%;120,6647;6.985,9165;1236.199,4201;2.095.774,9511;1.447,6791
CL;300;10 minuti;75%;199,5898;20.395,1621;1259.876,9577;6.118.548,6328;2.473,57
