TT;50;5 minuti;0%;153,4191;21.342,5195;137.670,9587;1.067.125,9765;1.033,0178
TT;50;5 minuti;25%;363,1338;79.645,8593;1318.156,6925;3.982.292,9687;1.995,5683
TT;50;5 minuti;50%;681,013;230.454,8281;1334.050,653;11.522.741,4062;3.394,5163
TT;50;5 minuti;75%;1.134,3757;671.721,25;1356.718,7866;33.586.062,50;5.795,3483
TT;50;10 minuti;0%;156,8213;24.406,8496;127.841,0652;1.220.342,4804;1.104,6911
TT;50;10 minuti;25%;378,6963;81.862,0703;1218.934,819;4.093.103,5156;2.023,1419
TT;50;10 minuti;50%;712,9171;247.107,0625;1235.645,8587;12.355.353,125;3.515,0182
TT;50;10 minuti;75%;1.177,9976;731.812,4375;1258.899,884;36.590.621,875;6.049,0182
TT;100;5 minuti;0%;69,8093;5.576,5908;136.980,9371;557.659,082;746,7657
TT;100;5 minuti;25%;179,892;18.768,7832;1317.989,2089;1.876.878,3203;1.369,992
TT;100;5 minuti;50%;344,7913;57.009,3085;1334.479,1381;5.700.930,8593;2.387,6622
TT;100;5 minuti;75%;579,5869;168.971,1875;1357.958,6975;16.897.118,75;4.110,6105
TT;100;10 minuti;0%;72,7725;6.156,3359;127.277,256;615.633,5937;784,6232
TT;100;10 minuti;25%;188,8559;19.344,9394;1218.885,5957;1.934.493,9453;1.390,8608
TT;100;10 minuti;50%;363,0453;61.468,6093;1236.304,5318;6.146.860,9375;2.479,2863
TT;100;10 minuti;75%;605,5471;185.224,25;1260.554,7119;18.522.425,00;4.303,7686
TT;300;5 minuti;0%;24,3244;543,9032;137.297,3239;163.170,9777;403,9442
TT;300;5 minuti;25%;61,0015;2.025,0959;1318.300,4554;607.528,7841;779,4413
TT;300;5 minuti;50%;114,2338;6.450,9619;1334.270,1431;1.935.288,5742;1.391,1464
TT;300;5 minuti;75%;190,4387;18.532,8496;1357.131,6207;5.559.854,8828;2.357,9344
TT;300;10 minuti;0%;25,4072;600,2831;127.622,1731;180.084,9426;424,3641
TT;300;10 minuti;25%;64,2054;2.080,7749;1219.261,6264;624.232,4707;790,0838
TT;300;10 minuti;50%;120,5472;6.983,601;1236.164,1609;2.095.080,3222;1.447,4392
TT;300;10 minuti;75%;199,3417;20.377,6269;1259.802,539;6.113.288,0859;2.472,5064
