NV;50;5 minuti;0%;153,4216;22.312,5957;137.671,0807;1.115.629,7851;1.056,2337
NV;50;5 minuti;25%;363,1473;82.226,5781;1318.157,3699;4.111.328,9062;2.027,6412
NV;50;5 minuti;50%;678,6031;234.965,8593;1333.930,1574;11.748.292,9687;3.427,5782
NV;50;5 minuti;75%;1.129,3604;678.144,4375;1356.468,0236;33.907.221,875;5.822,9908
NV;50;10 minuti;0%;157,107;25.422,3906;127.855,352;1.271.119,5312;1.127,4393
NV;50;10 minuti;25%;379,2326;84.661,1796;1218.961,6317;4.233.058,9843;2.057,4399
NV;50;10 minuti;50%;710,7927;252.529,4843;1235.539,6392;12.626.474,2187;3.553,375
NV;50;10 minuti;75%;1.173,1861;739.249,8125;1258.659,3078;36.962.490,625;6.079,6784
NV;100;5 minuti;0%;70,314;5.900,0317;137.031,4002;590.003,1738;768,1166
NV;100;5 minuti;25%;177,7151;19.566,3496;1317.771,5118;1.956.634,9609;1.398,7976
NV;100;5 minuti;50%;337,4897;57.515,4101;1333.748,9715;5.751.541,0156;2.398,237
NV;100;5 minuti;75%;565,3489;167.268,2812;1356.534,8999;16.726.828,125;4.089,8445
NV;100;10 minuti;0%;73,3681;6.489,7407;127.336,8148;648.974,0722;805,5892
NV;100;10 minuti;25%;186,535;20.265,0351;1218.653,5018;2.026.503,5156;1.423,5531
NV;100;10 minuti;50%;355,0562;62.100,3164;1235.505,6243;6.210.031,6406;2.491,9935
NV;100;10 minuti;75%;590,0296;183.158,9218;1259.002,9602;18.315.892,1875;4.279,707
NV;300;5 minuti;0%;23,8807;616,0299;137.164,2131;184.808,9904;429,8941
NV;300;5 minuti;25%;56,3807;2.204,0588;1316.914,2166;661.217,6513;813,1529
NV;300;5 minuti;50%;103,8426;6.178,4599;1331.152,7816;1.853.537,9882;1.361,447
NV;300;5 minuti;75%;172,2175;16.959,0585;1351.665,2587;5.087.717,5781;2.255,5969
NV;300;10 minuti;0%;24,899;674,1192;127.469,7217;202.235,7788;449,7063
NV;300;10 minuti;25%;58,8057;2.309,7053;1217.641,7278;692.911,5966;832,4131
NV;300;10 minuti;50%;108,3137;6.661,6699;1232.494,1253;1.998.500,9765;1.413,6834
NV;300;10 minuti;75%;177,9472;18.390,3417;1253.384,1842;5.517.102,539;2.348,8513
